SRR_ID	Tissue	Log2TPM1
SRR8306940	Adipose	4.770151296
SRR8306937	Adipose	4.894577359
SRR8306932	Adipose	4.95627792
SRR8306933	Adipose	4.985280822
ERR789435	Adipose	5.489855473
ERR3341409	Adrenal	3.775476543
ERR3341411	Adrenal	3.791855945
SRR5803020	Adrenal	3.796398197
SRR5803018	Adrenal	3.871997961
SRR5803021	Adrenal	3.896889973
ERR3341410	Adrenal	3.97875667
SRR5803019	Adrenal	4.069552838
ERR3341412	Adrenal	4.207060017
SRR8136645	Blood	0
SRR8136646	Blood	0
SRR8136647	Blood	0
SRR8136652	Blood	0
SRR8136653	Blood	0
SRR8136654	Blood	0
SRR8136655	Blood	0
SRR8136660	Blood	0
SRR8136661	Blood	0
SRR8136662	Blood	0
SRR8136663	Blood	0
SRR8327862	Blood	0.051166037
SRR8327861	Blood	0.068628165
SRR8417720	Blood	0.124060748
SRR8327863	Blood	0.135540123
SRR8327864	Blood	0.228409907
SRR8327866	Blood	0.549677056
SRR8327865	Blood	0.692520935
SRR5155448	Blood	0.89406727
SRR5155474	Blood	0.902937972
SRR8417797	Blood	0.954459136
SRR6207747	Blood	1.043868008
SRR5155470	Blood	1.090919129
SRR5155484	Blood	1.129574494
SRR8327869	Blood	1.132859761
SRR5155481	Blood	1.175018012
SRR5155463	Blood	1.20211677
SRR5155460	Blood	1.211338087
SRR8327870	Blood	1.227975141
SRX5226860	Blood	1.25474157
SRR5155476	Blood	1.284265964
SRR5155475	Blood	1.326042559
SRR5155472	Blood	1.355600443
SRR5155455	Blood	1.364692885
ERR1898466	Blood	1.417988577
SRR6266871	Blood	1.421458152
SRR5155449	Blood	1.430568966
SRX1535420	Blood	1.432169984
SRR6266894	Blood	1.445888759
SRR5155450	Blood	1.453168814
SRR5155451	Blood	1.496396899
SRR5345630	Blood	1.507926538
SRR6207740	Blood	1.53655129
SRR5155477	Blood	1.537743842
SRX5226861	Blood	1.565517728
SRR5155479	Blood	1.576450062
SRR5155454	Blood	1.588469274
SRR6266875	Blood	1.590962678
SRR5155482	Blood	1.627466297
ERR1898463	Blood	1.636333674
ERR1898448	Blood	1.642054582
SRR5155453	Blood	1.646952466
SRX5226853	Blood	1.654110577
SRR5155457	Blood	1.665235394
SRR5155464	Blood	1.677269183
SRR5155469	Blood	1.688011568
SRR6266861	Blood	1.690393404
SRR5155467	Blood	1.695685649
SRR6266887	Blood	1.6979308
SRR6266901	Blood	1.715418103
ERR1898456	Blood	1.720853677
ERR1898468	Blood	1.721097438
SRR5155465	Blood	1.722264033
SRX5226847	Blood	1.727292283
SRR5345632	Blood	1.754674609
SRR5155456	Blood	1.773084861
SRR5345644	Blood	1.7933857
SRR5155458	Blood	1.815446318
SRR5155459	Blood	1.818080755
SRR5155461	Blood	1.834485916
SRR5155468	Blood	1.858452132
SRR6266883	Blood	1.882060768
SRR5155473	Blood	1.887555684
SRR6266867	Blood	1.938367853
SRR5155478	Blood	1.953769209
SRR5155485	Blood	1.972476877
SRR5155452	Blood	1.973885279
SRR8327867	Blood	1.982223689
ERR1898450	Blood	1.99078463
SRR5155480	Blood	2.002323032
SRR6266900	Blood	2.008423423
SRR6266865	Blood	2.015496499
SRR6207741	Blood	2.015695591
SRR5345628	Blood	2.063638232
ERR1898472	Blood	2.06441521
SRR5345651	Blood	2.070931954
SRR6207746	Blood	2.090897117
SRR5155462	Blood	2.104492999
SRR6266877	Blood	2.106738927
SRR6266889	Blood	2.114828081
ERR1898447	Blood	2.116706092
ERR1898458	Blood	2.118357732
ERR1199514	Blood	2.141179022
SRR5345652	Blood	2.152597506
ERR1898462	Blood	2.185597006
ERR1199503	Blood	2.193493899
ERR1898464	Blood	2.211987786
ERR1898465	Blood	2.222387578
SRR5345653	Blood	2.250414701
SRR5345633	Blood	2.276469866
ERR1199502	Blood	2.276891157
ERR1199515	Blood	2.282147678
ERR1898455	Blood	2.285790732
SRR5345640	Blood	2.286070883
SRR5155471	Blood	2.290984917
SRR5345658	Blood	2.301724886
SRR5155466	Blood	2.327286975
SRR5345685	Blood	2.328151711
SRR5345682	Blood	2.336388515
SRR5345645	Blood	2.336901757
ERR1898460	Blood	2.345312627
SRR8327868	Blood	2.346950934
SRR5345656	Blood	2.350329206
SRR6207745	Blood	2.354515633
ERR1199522	Blood	2.3605761
ERR1898457	Blood	2.373973042
ERR1199520	Blood	2.374674783
SRR5345675	Blood	2.37531529
ERR1199495	Blood	2.390830544
SRR5345662	Blood	2.402082808
SRR5345639	Blood	2.408336059
SRR6207738	Blood	2.423129831
ERR1199510	Blood	2.433535836
SRR5345642	Blood	2.437954763
ERR1199511	Blood	2.441858712
ERR1898446	Blood	2.449035174
SRR5155483	Blood	2.459788838
ERR1199509	Blood	2.497212264
ERR1199499	Blood	2.4990708
ERR1199504	Blood	2.509648722
ERR1898474	Blood	2.518917038
ERR1898449	Blood	2.580424829
SRR5345674	Blood	2.595481461
SRR5345635	Blood	2.603302314
ERR1898452	Blood	2.608792687
ERR1199519	Blood	2.609730145
ERR1898471	Blood	2.641953117
SRR5345626	Blood	2.670114501
SRR5345625	Blood	2.678233298
ERR1199506	Blood	2.686972869
SRR5345663	Blood	2.693101518
SRR5345641	Blood	2.721261746
SRR5345654	Blood	2.724501848
ERR1898451	Blood	2.733149745
SRR5345650	Blood	2.747218305
ERR1199493	Blood	2.772548474
SRR5345647	Blood	2.827903146
ERR1898467	Blood	2.866906396
